Unique_ID,Monument_Name,Honoree,City,County,State,Union_or_Confederacy,lat_long,latitude,longitude,long_lat,Monument_Type,Sponsor,Year_Dedicated,Year_Removed,Was_Removed,Latitude,Longitude,Number,Street,City,State,County,Zip,Country
1,Wheeler Dam,Joseph Wheeler,Decatur,Limestone,AL,South,"34.807267, -87.382190",34.807267,-87.38219,"-87.38219, 34.807267",Body of Water,Unknown,1936,,Active,34.814369,-87.389483,475,Lauderdale County 585,Rogersville,AL,Lauderdale County,35652,US
2,Edmund Pettus Bridge,Edmund Pettus,Selma,Dallas,AL,South,"32.405538, -87.018452",32.405538,-87.018452,"-87.018452, 32.405538",Bridge,Unknown,1940,,Active,32.404894,-87.018243,2,Us Hwy 80,Selma,AL,Dallas County,36701,US
3,Sons of Confederate Veterans Commemorative License Plate,No specific honoree,Montgomery,Montgomery,AL,South,"32.377883, -86.300594",32.377883,-86.300594,"-86.300594, 32.377883",Commemorative License Plate,Sons of Confederate Veterans,Unknown,,Active,32.377771,-86.300576,600,Dexter Ave,Montgomery,AL,Montgomery County,36104,US
4,Chilton County,William Parish Chilton,Clanton,Chilton,AL,South,"32.840129, -86.629666",32.840129,-86.629666,"-86.629666, 32.840129",County,Unknown,1874,,Active,32.840058,-86.628993,498,2nd Ave N,Clanton,AL,Chilton County,35045,US
5,Hale County,Stephen F. Hale,Greensboro,Hale,AL,South,"32.703748, -87.592427",32.703748,-87.592427,"-87.592427, 32.703748",County,Unknown,1867,,Active,32.704141,-87.592531,1004,Main St,Greensboro,AL,Hale County,36744,US
6,Cleburne County,Patrick Cleburne,Heflin,Cleburne,AL,South,"33.644490, -85.584200",33.64449,-85.5842,"-85.5842, 33.64449",County,Unknown,1866,,Active,33.644585,-85.584631,73,Evans St,Heflin,AL,Cleburne County,36264,US
7,Lee County,Robert E. Lee,Opelika,Lee,AL,South,"32.646046, -85.379469",32.646046,-85.379469,"-85.379469, 32.646046",County,Unknown,1866,,Active,32.646642,-85.379555,191,Us Hwy 280,Opelika,AL,Lee County,36801,US
8,Bullock County,Edward C. Bullock,Union Springs,Bullock,AL,South,"32.145335, -85.716127",32.145335,-85.716127,"-85.716127, 32.145335",County,Unknown,1866,,Active,32.145256,-85.715798,13005,Hwy 110,Union Springs,AL,Bullock County,36089,US
9,Alabama Coat of Arms,No specific honoree,Montgomery,Montgomery,AL,South,"32.378097, -86.300535",32.378097,-86.300535,"-86.300535, 32.378097",Flag,Unknown,1923,,Active,32.377771,-86.300576,600,Dexter Ave,Montgomery,AL,Montgomery County,36104,US
10,Beauregard Street,Pierre Gustave Toutant-Beauregard,Montgomery,Montgomery,AL,South,"32.369615, -86.285629",32.369615,-86.285629,"-86.285629, 32.369615",Highway / Roadway,Unknown,Unknown,,Active,32.369815,-86.28576,926,Olive St,Montgomery,AL,Montgomery County,36106,US
11,Beauregard Street,Pierre Gustave Toutant-Beauregard,Dauphin Island,Mobile,AL,South,"30.247580, -88.094194",30.24758,-88.094194,"-88.094194, 30.24758",Highway / Roadway,Unknown,Unknown,,Active,30.248269,-88.094218,140,Beauregard St,Dauphin Island,AL,Mobile County,36528,US
12,Robert E. Lee Drive,Robert E. Lee,Millbrook,Elmore,AL,South,"32.493083, -86.367970",32.493083,-86.36797,"-86.36797, 32.493083",Highway / Roadway,Unknown,Unknown,,Active,32.493311,-86.367947,3621,Robert E Lee Dr,Millbrook,AL,Elmore County,36054,US
13,Robert E. Lee Street,Robert E. Lee,Leeds,Jefferson,AL,South,"33.540289, -86.563132",33.540289,-86.563132,"-86.563132, 33.540289",Highway / Roadway,Unknown,Unknown,,Active,33.540498,-86.563186,7301,Cleveland St,Leeds,AL,Jefferson County,35094,US
14,Robert Lee Road,Robert E. Lee,Trussville,Jefferson,AL,South,"33.602698, -86.570036",33.602698,-86.570036,"-86.570036, 33.602698",Highway / Roadway,Unknown,Unknown,,Active,33.602648,-86.570308,3390,Robert Lee Rd,Trussville,AL,Jefferson County,35173,US
15,Robert Lee Street,Robert E. Lee,Monroeville,Monroe,AL,South,"31.512632, -87.333961",31.512632,-87.333961,"-87.333961, 31.512632",Highway / Roadway,Unknown,Unknown,,Active,31.51266,-87.334205,50,Robert Lee St,Monroeville,AL,Monroe County,36460,US
16,Confederate Circle,No specific honoree,Monroeville,Monroe,AL,South,"31.514279, -87.332234",31.514279,-87.332234,"-87.332234, 31.514279",Highway / Roadway,Unknown,Unknown,,Active,31.514274,-87.332263,68,Confederate Cir,Monroeville,AL,Monroe County,36460,US
17,Stonewall Lane,"Thomas Jonathan ""Stonewall"" Jackson",Monroeville,Monroe,AL,South,"31.512641, -87.333693",31.512641,-87.333693,"-87.333693, 31.512641",Highway / Roadway,Unknown,Unknown,,Active,31.51266,-87.334205,50,Robert Lee St,Monroeville,AL,Monroe County,36460,US
