GEOID,Borough,LIUnits,TotalNew,TotalPres,TractWhite,TractBlack,TractAAPI,TractLatinx,TractPoverty,pct.white,pct.black,pct.asian,pct.latinx,pct.pov
36005000100,Bronx,0.00,0.00,0.00,13.20,63.60,2.10,29.90,0.00,0.13,0.64,0.02,0.30,0.00
36005000200,Bronx,0.00,0.00,0.00,48.40,26.90,3.30,75.00,15.80,0.48,0.27,0.03,0.75,0.16
36005000400,Bronx,0.00,0.00,0.00,46.10,35.80,1.20,64.70,11.80,0.46,0.36,0.01,0.65,0.12
36005001600,Bronx,1281.00,0.00,1281.00,44.20,37.10,0.60,66.70,28.80,0.44,0.37,0.01,0.67,0.29
36005001900,Bronx,132.00,132.00,0.00,17.60,39.90,4.90,54.00,35.30,0.18,0.40,0.05,0.54,0.35
36005002000,Bronx,453.00,0.00,453.00,33.10,45.50,3.40,61.40,52.40,0.33,0.46,0.03,0.61,0.52
36005002300,Bronx,0.00,0.00,0.00,18.80,42.50,1.00,62.80,48.40,0.19,0.43,0.01,0.63,0.48
36005002400,Bronx,0.00,0.00,0.00,47.20,52.80,0.00,0.00,0.00,0.47,0.53,0.00,0.00,0.00
36005002500,Bronx,94.00,0.00,94.00,17.50,22.30,3.50,77.80,49.20,0.18,0.22,0.04,0.78,0.49
36005002701,Bronx,185.00,158.00,27.00,13.00,36.50,0.00,68.00,59.80,0.13,0.37,0.00,0.68,0.60
36005002702,Bronx,714.00,0.00,714.00,15.60,37.10,0.00,69.10,50.40,0.16,0.37,0.00,0.69,0.50
36005002800,Bronx,1007.00,348.00,659.00,16.20,70.90,3.30,37.60,5.80,0.16,0.71,0.03,0.38,0.06
36005003100,Bronx,562.00,486.00,76.00,21.40,41.70,2.00,67.00,17.30,0.21,0.42,0.02,0.67,0.17
36005003300,Bronx,764.00,0.00,764.00,14.00,36.60,0.00,62.50,56.60,0.14,0.37,0.00,0.63,0.57
36005003500,Bronx,41.00,0.00,41.00,9.80,31.10,0.00,73.50,38.60,0.10,0.31,0.00,0.74,0.39
36005003700,Bronx,0.00,0.00,0.00,31.50,21.50,0.00,58.40,39.10,0.32,0.22,0.00,0.58,0.39
36005003800,Bronx,0.00,0.00,0.00,42.60,41.40,1.20,58.50,33.90,0.43,0.41,0.01,0.59,0.34
36005003900,Bronx,428.00,175.00,253.00,17.80,14.60,0.00,81.30,27.70,0.18,0.15,0.00,0.81,0.28
36005004001,Bronx,132.00,0.00,132.00,27.70,12.20,21.60,57.00,18.70,0.28,0.12,0.22,0.57,0.19
36005004100,Bronx,328.00,328.00,0.00,19.00,33.70,0.50,79.80,52.00,0.19,0.34,0.01,0.80,0.52
36005004200,Bronx,312.00,0.00,312.00,27.80,54.30,2.70,46.90,47.30,0.28,0.54,0.03,0.47,0.47
36005004300,Bronx,65.00,65.00,0.00,12.60,32.00,2.80,71.20,49.40,0.13,0.32,0.03,0.71,0.49
36005004400,Bronx,205.00,204.00,1.00,13.70,42.70,2.90,62.30,38.30,0.14,0.43,0.03,0.62,0.38
36005004600,Bronx,0.00,0.00,0.00,45.90,41.40,0.00,60.20,26.40,0.46,0.41,0.00,0.60,0.26
36005004800,Bronx,69.00,0.00,69.00,21.00,29.40,0.10,75.60,30.00,0.21,0.29,0.00,0.76,0.30
36005005001,Bronx,0.00,0.00,0.00,12.50,39.60,1.40,65.40,38.90,0.13,0.40,0.01,0.65,0.39
36005005002,Bronx,212.00,0.00,212.00,17.10,26.60,2.40,69.50,43.90,0.17,0.27,0.02,0.70,0.44
36005005100,Bronx,201.00,120.00,81.00,10.40,32.00,0.80,74.30,46.20,0.10,0.32,0.01,0.74,0.46
36005005200,Bronx,266.00,0.00,266.00,18.20,31.80,0.40,72.50,48.00,0.18,0.32,0.00,0.73,0.48
36005005300,Bronx,0.00,0.00,0.00,14.10,53.60,0.20,47.50,59.60,0.14,0.54,0.00,0.48,0.60
36005005400,Bronx,76.00,0.00,76.00,20.60,29.80,4.10,75.30,38.40,0.21,0.30,0.04,0.75,0.38
36005005600,Bronx,33.00,0.00,33.00,16.20,31.80,2.60,64.30,38.90,0.16,0.32,0.03,0.64,0.39
36005005902,Bronx,26.00,26.00,0.00,23.80,31.70,2.30,73.90,41.20,0.24,0.32,0.02,0.74,0.41
36005006000,Bronx,0.00,0.00,0.00,12.70,19.50,2.40,76.10,32.90,0.13,0.20,0.02,0.76,0.33
36005006100,Bronx,0.00,0.00,0.00,9.10,81.10,0.50,20.60,11.40,0.09,0.81,0.01,0.21,0.11
36005006200,Bronx,0.00,0.00,0.00,15.10,40.90,2.30,68.10,36.10,0.15,0.41,0.02,0.68,0.36
36005006300,Bronx,1169.00,1169.00,0.00,22.10,30.70,4.90,66.60,27.00,0.22,0.31,0.05,0.67,0.27
36005006400,Bronx,211.00,211.00,0.00,26.80,40.40,5.60,52.60,38.40,0.27,0.40,0.06,0.53,0.38
36005006500,Bronx,958.00,306.00,652.00,9.70,35.60,1.50,66.50,45.20,0.10,0.36,0.02,0.67,0.45
36005006700,Bronx,84.00,0.00,84.00,5.10,34.40,1.70,65.00,50.10,0.05,0.34,0.02,0.65,0.50
36005006800,Bronx,0.00,0.00,0.00,13.30,44.30,9.10,47.20,18.40,0.13,0.44,0.09,0.47,0.18
36005006900,Bronx,126.00,0.00,126.00,14.10,43.20,1.70,56.20,42.00,0.14,0.43,0.02,0.56,0.42
36005007000,Bronx,324.00,324.00,0.00,25.60,23.70,9.90,63.10,27.10,0.26,0.24,0.10,0.63,0.27
36005007100,Bronx,788.00,581.00,207.00,15.10,39.30,1.60,63.80,25.70,0.15,0.39,0.02,0.64,0.26
36005007200,Bronx,0.00,0.00,0.00,24.40,21.30,30.90,44.60,39.70,0.24,0.21,0.31,0.45,0.40
36005007300,Bronx,170.00,25.00,145.00,8.80,43.70,1.10,57.50,54.00,0.09,0.44,0.01,0.58,0.54
36005007400,Bronx,0.00,0.00,0.00,40.20,33.90,0.70,65.80,24.60,0.40,0.34,0.01,0.66,0.25
36005007500,Bronx,174.00,174.00,0.00,9.10,49.20,0.80,56.00,31.30,0.09,0.49,0.01,0.56,0.31
36005007600,Bronx,60.00,0.00,60.00,26.10,30.30,9.10,64.50,37.20,0.26,0.30,0.09,0.65,0.37
36005007700,Bronx,122.00,16.00,106.00,16.80,27.50,0.00,72.10,35.10,0.17,0.28,0.00,0.72,0.35
36005007800,Bronx,0.00,0.00,0.00,30.50,19.00,8.90,71.80,32.90,0.31,0.19,0.09,0.72,0.33
36005007900,Bronx,0.00,0.00,0.00,9.80,30.20,0.80,73.50,43.80,0.10,0.30,0.01,0.74,0.44
36005008300,Bronx,235.00,0.00,235.00,10.80,20.80,5.50,81.30,41.30,0.11,0.21,0.06,0.81,0.41
36005008400,Bronx,0.00,0.00,0.00,33.50,41.30,7.30,63.40,8.50,0.34,0.41,0.07,0.63,0.09
36005008500,Bronx,140.00,0.00,140.00,7.60,24.50,1.10,79.10,40.10,0.08,0.25,0.01,0.79,0.40
36005008600,Bronx,0.00,0.00,0.00,39.20,32.90,3.90,69.60,39.30,0.39,0.33,0.04,0.70,0.39
36005008700,Bronx,176.00,88.00,88.00,15.50,25.00,0.30,77.10,36.30,0.16,0.25,0.00,0.77,0.36
36005008900,Bronx,244.00,214.00,30.00,16.10,30.10,0.60,79.10,28.30,0.16,0.30,0.01,0.79,0.28
36005009000,Bronx,0.00,0.00,0.00,43.00,33.60,3.80,69.10,38.80,0.43,0.34,0.04,0.69,0.39
36005009200,Bronx,205.00,205.00,0.00,21.50,22.60,17.00,61.20,21.40,0.22,0.23,0.17,0.61,0.21
36005009300,Bronx,389.00,321.00,68.00,13.50,33.20,0.10,70.20,40.70,0.14,0.33,0.00,0.70,0.41
36005009600,Bronx,0.00,0.00,0.00,18.70,24.50,19.50,54.10,15.80,0.19,0.25,0.20,0.54,0.16
36005009800,Bronx,0.00,0.00,0.00,44.10,31.10,3.60,71.30,23.20,0.44,0.31,0.04,0.71,0.23
36005011000,Bronx,0.00,0.00,0.00,0.00,0.00,0.00,100.00,20.50,0.00,0.00,0.00,1.00,0.21
36005011502,Bronx,335.00,40.00,295.00,15.50,38.10,2.00,68.90,46.50,0.16,0.38,0.02,0.69,0.47
36005011700,Bronx,48.00,0.00,48.00,16.10,37.70,0.00,68.60,32.30,0.16,0.38,0.00,0.69,0.32
36005011800,Bronx,0.00,0.00,0.00,82.00,2.60,6.70,22.50,11.20,0.82,0.03,0.07,0.23,0.11
36005011900,Bronx,30.00,0.00,30.00,12.70,37.30,0.60,66.70,35.00,0.13,0.37,0.01,0.67,0.35
36005012101,Bronx,132.00,62.00,70.00,15.70,31.40,1.70,69.20,37.80,0.16,0.31,0.02,0.69,0.38
36005012102,Bronx,58.00,0.00,58.00,12.50,20.30,0.00,86.70,51.40,0.13,0.20,0.00,0.87,0.51
36005012300,Bronx,311.00,83.00,228.00,10.60,34.80,1.50,67.60,34.20,0.11,0.35,0.02,0.68,0.34
36005012500,Bronx,230.00,71.00,159.00,14.40,35.50,1.60,66.50,38.90,0.14,0.36,0.02,0.67,0.39
36005012701,Bronx,81.00,0.00,81.00,19.60,25.70,3.50,76.50,49.70,0.20,0.26,0.04,0.77,0.50
36005012901,Bronx,363.00,201.00,162.00,11.60,43.10,5.20,57.70,48.70,0.12,0.43,0.05,0.58,0.49
36005013000,Bronx,0.00,0.00,0.00,73.00,10.20,0.00,53.30,5.90,0.73,0.10,0.00,0.53,0.06
36005013100,Bronx,88.00,68.00,20.00,8.70,36.20,0.40,69.80,32.20,0.09,0.36,0.00,0.70,0.32
36005013200,Bronx,0.00,0.00,0.00,53.40,17.50,4.00,48.80,3.90,0.53,0.18,0.04,0.49,0.04
