GEOID,Borough,LIUnits,TotalNew,TotalPres,TractWhite,TractBlack,TractAAPI,TractLatinx,TractPoverty,pct.white,pct.black,pct.asian,pct.latinx,pct.pov
36005000100,Bronx,0,0,0,13.2,63.6,2.1,29.9,0,0.13,0.64,0.02,0.3,0
36005000200,Bronx,0,0,0,48.4,26.9,3.3,75,15.8,0.48,0.27,0.03,0.75,0.16
36005000400,Bronx,0,0,0,46.1,35.8,1.2,64.7,11.8,0.46,0.36,0.01,0.65,0.12
36005001600,Bronx,1281,0,1281,44.2,37.1,0.6,66.7,28.8,0.44,0.37,0.01,0.67,0.29
36005001900,Bronx,132,132,0,17.6,39.9,4.9,54,35.3,0.18,0.4,0.05,0.54,0.35
36005002000,Bronx,453,0,453,33.1,45.5,3.4,61.4,52.4,0.33,0.46,0.03,0.61,0.52
36005002300,Bronx,0,0,0,18.8,42.5,1,62.8,48.4,0.19,0.43,0.01,0.63,0.48
36005002400,Bronx,0,0,0,47.2,52.8,0,0,0,0.47,0.53,0,0,0
36005002500,Bronx,94,0,94,17.5,22.3,3.5,77.8,49.2,0.18,0.22,0.04,0.78,0.49
36005002701,Bronx,185,158,27,13,36.5,0,68,59.8,0.13,0.37,0,0.68,0.6
36005002702,Bronx,714,0,714,15.6,37.1,0,69.1,50.4,0.16,0.37,0,0.69,0.5
36005002800,Bronx,1007,348,659,16.2,70.9,3.3,37.6,5.8,0.16,0.71,0.03,0.38,0.06
36005003100,Bronx,562,486,76,21.4,41.7,2,67,17.3,0.21,0.42,0.02,0.67,0.17
36005003300,Bronx,764,0,764,14,36.6,0,62.5,56.6,0.14,0.37,0,0.63,0.57
36005003500,Bronx,41,0,41,9.8,31.1,0,73.5,38.6,0.1,0.31,0,0.74,0.39
36005003700,Bronx,0,0,0,31.5,21.5,0,58.4,39.1,0.32,0.22,0,0.58,0.39
36005003800,Bronx,0,0,0,42.6,41.4,1.2,58.5,33.9,0.43,0.41,0.01,0.59,0.34
36005003900,Bronx,428,175,253,17.8,14.6,0,81.3,27.7,0.18,0.15,0,0.81,0.28
36005004001,Bronx,132,0,132,27.7,12.2,21.6,57,18.7,0.28,0.12,0.22,0.57,0.19
36005004100,Bronx,328,328,0,19,33.7,0.5,79.8,52,0.19,0.34,0.01,0.8,0.52
36005004200,Bronx,312,0,312,27.8,54.3,2.7,46.9,47.3,0.28,0.54,0.03,0.47,0.47
36005004300,Bronx,65,65,0,12.6,32,2.8,71.2,49.4,0.13,0.32,0.03,0.71,0.49
